Last updated in 2011,,
Region,,Europe & Central Asia
TB Incidence (per 100 000 per year) * †,,69
TB Incidence (Count) * ‡,,6800
Income group (World Bank),,Upper middle income
Current BCG vaccination?,,Yes
BCG Recommendation Type,,Current national BCG vaccination policy for all
Timing of 1st BCG?,,"After birth, within 1 yr: 4-7 days"
Datasource,,Published data
Multiple BCG?,,Yes
Timing of BCG #2,,"7 yrs, if no scar"
Multiple BCG in the past?,,No
BCG Strain,,"Sofia, Bulgaria/ InterVac Ltd Toronto Canada"
Is TST done post BCG?,,No
Year of BCG coverage estimate,,2007
BCG coverage (%),,94%
Year of changes to BCG schedule,,2002
Details of changes,,Approval of National BCG Calendar
Are there special groups that receive BCG?,,No
Datasource,,Questionnaire
Why was the policy discontinued? (if applicable),,Cost benefit - the BCG vaccine would only prevent very few cases per year
What was the process of discontinuation? (if applicable) ,,Cost benefit calculations
Is TST administered pre-BCG vaccination? ,,No
Location of Administration of BCG Vaccine ,,Left upper arm
How long has this BCG vaccine strain been used? ,,90 years (since 1927)
Were there shortages/stockouts of the vaccine? ,,Yes
Is the BCG vaccination policy regularly assessed?,,Yes
How often is the policy assessed? ,,~ 5 years
Process of Assessment (if not regular) ,,N/A
Datasource,,Questionnaire
Details of shortages/stockouts ,,"Due to the shortages and stock-outs of BCG SSI, CR had to switch to Polish BCG."
Is the BCG vaccination policy regularly assessed?,,Yes
How often is the policy assessed? ,,Every year (along with assessment of vaccine coverage)
BCG Policy Link ,,https://www.zakonyprolidi.cz/cs/2006-537
Is BCG Vaccination Recommended For HIV-Positive Babies?,,No
Datasource,,Questionnaire 
